Days,Effective Precipitation (mm/day),Evapotranspiration (mm/day),Actual Evapotranspiration (mm/day),Storage (mm),Runoff (mm/day),Runoff in Area (m^3/day)
678,13.500000,10.530000,1.509742,252.980813,0.252225,260876.458004
679,13.300000,14.274000,2.437687,254.220916,0.473711,489959.790510
680,0.500000,2.106000,0.409786,253.591255,0.703166,727284.814869
681,0.000000,4.914000,0.956382,253.069939,0.521316,539197.285538
682,1.100000,7.839000,1.506151,252.866252,0.363345,375808.096128
683,0.000000,8.307000,1.583842,252.613488,0.275296,284738.967076
684,4.700000,6.084000,1.134926,252.572999,0.252613,261278.130836
685,32.100000,10.062000,1.952989,256.743227,0.299028,309284.901137
686,0.600000,4.797000,1.248584,255.636271,1.225290,1267317.622126
687,0.000000,0.000000,0.000000,254.697803,0.938468,970657.476116
688,0.000000,0.000000,0.000000,254.009046,0.688757,712380.919759
689,0.000000,1.638000,0.423077,254.952058,0.494025,510969.937712
690,0.000000,3.510000,0.956667,254.305469,0.658326,680906.073478
691,0.300000,1.989000,0.537394,253.893952,0.472957,489179.318804
692,0.000000,0.000000,0.000000,253.640448,0.339347,350987.049260
693,0.000000,0.000000,0.000000,253.386807,0.253640,262340.315266
694,0.000000,0.000000,0.000000,253.133421,0.253387,262077.974951
695,0.000000,0.000000,0.000000,252.880287,0.253133,261815.896976
696,0.000000,0.000000,0.000000,252.627407,0.252880,261554.081079
697,0.000000,0.000000,0.000000,252.374780,0.252627,261292.526998
698,25.200000,10.296000,2.773799,262.025591,0.252375,261031.234471
699,2.200000,6.435000,2.362687,260.208932,2.430823,2514200.691526
700,0.800000,0.000000,0.000000,258.443200,1.987823,2056005.568252
701,1.500000,0.000000,0.000000,257.305282,1.556070,1609443.441214
702,0.000000,0.000000,0.000000,256.042802,1.262480,1305782.736690
703,0.000000,0.000000,0.000000,255.101273,0.941529,973823.274479
704,0.000000,0.000000,0.000000,254.410043,0.691230,714939.581214
705,0.000000,0.000000,0.000000,253.914002,0.496041,513054.943040
706,0.000000,0.000000,0.000000,253.660499,0.343836,355629.523195
707,0.000000,0.000000,0.000000,253.406838,0.253660,262361.053612
708,0.000000,0.000000,0.000000,253.153431,0.253407,262098.692559
709,0.000000,0.000000,0.000000,252.900278,0.253153,261836.593866
710,0.000000,0.000000,0.000000,252.647377,0.252900,261574.757272
711,0.000000,0.000000,0.000000,252.394730,0.252647,261313.182515
712,0.000000,0.000000,0.000000,252.142335,0.252395,261051.869332
713,0.000000,0.000000,0.000000,251.890193,0.252142,260790.817463
714,0.000000,0.000000,0.000000,251.638303,0.251890,260530.026646
715,0.000000,0.000000,0.000000,251.386665,0.251638,260269.496619
716,0.000000,0.000000,0.000000,251.135278,0.251387,260009.227122
717,0.000000,0.000000,0.000000,250.884143,0.251135,259749.217895
718,0.000000,0.000000,0.000000,250.633258,0.250884,259489.468677
719,0.000000,0.000000,0.000000,250.382625,0.250633,259229.979209
720,0.000000,0.000000,0.000000,250.132243,0.250383,258970.749229
721,0.000000,0.000000,0.000000,249.882110,0.250132,258711.778480
722,0.000000,0.000000,0.000000,249.632228,0.249882,258453.066702
723,1.500000,0.000000,0.000000,250.136998,0.249632,258194.613635
724,3.300000,2.574000,0.971633,253.392726,0.415351,429597.503269
725,10.200000,2.691000,1.072821,258.358895,1.087676,1124983.221927
726,0.200000,0.000000,0.000000,256.676358,2.136342,2209618.418592
727,0.000000,0.000000,0.000000,255.255526,1.722336,1781412.470795
728,9.600000,0.000000,0.000000,257.558428,1.365950,1412801.761848
729,1.100000,0.234000,0.106526,257.542798,1.828829,1891557.404583
730,0.000000,0.000000,0.000000,255.761124,1.781674,1842785.318501
731,0.000000,0.000000,0.000000,254.415091,1.346033,1392202.331607
